시장정보,지번 주소,도로명 주소,지리정보,시장개설주기,시장유형,시장크기,점포수,시도,시군구
봉화춘양시장(춘양시장),경상북도 봉화군 춘양면 의양리 357-29,경상북도 봉화군 춘양면 의양로 60,"{'latitude': '36.9363896', 'longitude': '128.9130309'}",상설+정기,전통시장,중형시장,53,경북,봉화군
성주시장,경상북도 성주군 성주읍 경산리 718-63,경상북도 성주군 성주읍 시장길43,"{'latitude': '35.9144748', 'longitude': '128.2851068'}",상설+정기,전통시장,소형시장,103,경북,성주군
안동구시장,경상북도 안동시 서부동 181-1,경상북도 안동시 번영1길 55,"{'latitude': '36.5657191', 'longitude': '128.7279077'}",상설,전통시장,중형시장,51,경북,안동시
안동서부시장,경상북도 안동시 태화동 60-12,경상북도 안동시 대안로 22번지,"{'latitude': '36.5652343', 'longitude': '128.7149805'}",상설+정기,전통시장,중형시장,69,경북,안동시
풍산공설시장,경상북도 안동시 풍산읍 하리리 234-6,경상북도 안동시 풍산읍 하리들길 7-1,"{'latitude': '36.5772065', 'longitude': '128.5765854'}",정기,전통시장,소형시장,54,경북,안동시
강구시장,경상북도 영덕군 강구면 오포리 535,경상북도 영덕군 강구면 강구시장1길,"{'latitude': '36.3579917', 'longitude': '129.3804741'}",상설+정기,전통시장,소형시장,148,경북,영덕군
영해만세시장,경상북도 영덕군 영해면 성내리 468-1,경상북도 영덕군 영해면 예주시장5길 21,"{'latitude': '36.5404087', 'longitude': '129.4074355'}",상설+정기,전통시장,중형시장,376,경북,영덕군
영천공설시장,경상북도 영천시  완산동 982-3,경상북도 영천시 시장4길 52,"{'latitude': '35.9642157', 'longitude': '128.9385221'}",상설+정기,전통시장,중형시장,99,경북,영천시
울진시장,경상북도 울진군 울진읍 읍내리 63,경상북도 울진군 울진읍 읍내2길 13-6,"{'latitude': '36.9913194', 'longitude': '129.4020471'}",상설+정기,전통시장,중형시장,99,경북,울진군
평해시장,경상북도 울진군 평해읍 평해리 879-3,경상북도 울진군 평해읍 평해6길12,"{'latitude': '36.7269413', 'longitude': '129.4424208'}",상설+정기,전통시장,소형시장,79,경북,울진군
후포시장,경상북도 울진군 후포면 삼율리 126,경상북도 울진군 후포면 울진대게로21,"{'latitude': '36.6780294', 'longitude': '129.4438049'}",상설+정기,전통시장,소형시장,158,경북,울진군
의성공설재래시장,경상북도 의성군 의성읍 도동리 758-4,경상북도 의성군 의성읍 전통시장 1길 12-8,"{'latitude': '36.3451783', 'longitude': '128.7001691'}",정기,전통시장,소형시장,99,경북,의성군
연일전통시장,경상북도 포항시 남구 연일읍 생지리 194-1,경상북도 포항시 남구 연일읍 연일로 159번길 46,"{'latitude': '35.9963575', 'longitude': '129.3487086'}",상설+정기,전통시장,중형시장,69,경북,포항시
죽도농산물시장,경상북도 포항시 죽도동 15-4,경상북도 포항시 죽도시장4길 22,"{'latitude': '36.0332791', 'longitude': '129.3669975'}",상설,전통시장,중대형시장,56,경북,포항시
죽도시장,경상북도 포항시 북구 죽도동 2번지일대,경상북도 포항시 북구 죽도시장13길 13,"{'latitude': '36.0357789', 'longitude': '129.3669813'}",상설,전통시장,중형시장,93,경북,포항시
청하시장,경상북도 포항시 북구 청하면 미남리 383-7,경상북도 포항시 북구 청하면 청하로 200번길 10-1,"{'latitude': '36.1970266', 'longitude': '129.3404126'}",정기,전통시장,소형시장,99,경북,포항시
흥해시장,경상북도 포항시 북구흥해읍  성내리 44-2,경상북도 포항시 북구흥해읍 흥해로 74번길6,"{'latitude': '36.1111391', 'longitude': '129.3482504'}",상설+정기,전통시장,중형시장,296,경북,포항시
비아5일시장,광주광역시 광산구 비아동 83-5,광주광역시 광산구 중앙로 26-1,"{'latitude': '35.2212296', 'longitude': '126.8252249'}",정기,전통시장,소형시장,99,광주,광산구
송정5일시장,광주광역시 광산구 송정동 813-1,광주광역시 광산구 송정로 29번길 64,"{'latitude': '35.1375504', 'longitude': '126.7972643'}",정기,전통시장,중형시장,70,광주,광산구
남광주해뜨는시장,광주광역시 동구 학동 61-28,광주광역시 동구 제봉로 11번길13-6,"{'latitude': '35.1399220', 'longitude': '126.9221639'}",상설,전통시장,소형시장,102,광주,동구
현풍공설시장,대구광역시 달성군  현풍읍 원교리 12-1,대구광역시 달성군 현풍읍 비슬로132길 21-1,"{'latitude': '35.6947417', 'longitude': '128.4411812'}",상설+정기,전통시장,소형시장,99,대구,달성군
불로전통시장,대구광역시 동구 불로동 449-1,대구광역시 동구 반야월로1길 7,"{'latitude': '35.9102351', 'longitude': '128.6419343'}",상설+정기,전통시장,소형시장,99,대구,동구
